Sector,Num_Atropellos,Distancia_Parque
1,22,250.214
2,14,741.179
3,65,1240.08
4,55,1739.885
5,88,2232.13
6,104,2724.089
7,49,3215.511
8,66,3709.401
9,26,4206.477
10,47,4704.176
11,35,5202.328
12,55,5700.669
13,44,6199.342
14,30,6698.151
15,33,7187.762
16,29,7668.833
17,34,8152.155
18,64,8633.224
19,76,9101.411
20,32,9573.578
21,34,10047.63
22,32,10523.939
23,35,11002.496
24,22,11482.896
25,34,11976.232
26,25,12470.968
27,18,12968.285
28,14,13465.914
29,14,13961.321
30,7,14432.954
31,7,14904.995
32,17,15377.983
33,10,15854.389
34,3,16335.936
35,6,16810.109
36,5,17235.045
37,2,17673.064
38,3,18167.269
39,2,18656.949
40,2,19149.507
41,7,19645.717
42,3,20141.987
43,5,20640.729
44,4,21138.903
45,7,21631.542
46,12,22119.102
47,7,22613.647
48,14,23113.45
49,10,23606.088
50,4,24046.886
51,11,24444.874
52,3,24884.803
